product_id,0,1,2
33120,6.342836,-8.667012,0.081093684
28985,12.671792,-2.005971,0.021298217
9327,12.943271,-5.793051,1.732781
45918,15.90617,-4.840028,-1.1357337
30035,16.858994,-0.38944504,-0.7998925
17794,9.865296,-9.230745,-1.7230284
40141,5.135705,-9.567322,-3.9775844
1819,2.4869435,-9.4921,1.4608127
43668,7.59082,-4.6312194,-4.347571
33754,12.564355,-8.253056,-1.1298686
24838,10.741158,-0.5720958,0.5213714
17704,13.065169,-2.7961142,-4.789472
21903,17.676304,-1.4687827,-4.188454
17668,12.068171,-5.1801147,-4.58756
46667,4.7903495,-6.1269584,-0.26217648
17461,4.2145343,-9.77243,-2.3797953
32665,4.1725707,-3.826588,-1.2256374
46842,12.255068,2.5224721,-3.2808905
26434,10.743651,-6.2277417,-1.729907
39758,15.621352,-3.3697438,2.1766949
27761,4.670757,-7.7676597,0.96410614
10054,11.277014,-1.6307039,-0.7389971
21351,7.0962977,-9.20808,1.4628756
22598,15.250303,-8.161312,2.588289
34862,8.272726,-1.2211113,3.033189
40285,6.7177176,-1.1205426,1.5579147
17616,11.469374,-1.0258273,0.66787374
25146,5.1573544,-7.8468704,-6.7218547
32645,10.130246,-2.5977561,-3.4751325
41276,10.122184,-3.2867448,0.5826417
13176,12.000055,-4.4750285,-5.3394814
15005,9.09075,-5.416737,-5.014009
47329,15.237379,-1.6554773,0.71690273
27966,10.196431,-4.8741508,-6.6219907
23909,6.8101606,0.9618916,-0.591896
48370,6.725238,-5.9044995,-4.4962506
13245,12.752262,-4.517363,-4.8026156
9633,11.665619,-0.7077238,-4.4222736
27360,9.678263,-5.056619,-3.5057852
6348,9.29596,-1.2530447,-3.1691751
40878,4.1875196,-3.5086677,-0.701851
6184,3.550712,-3.1710477,1.7325625
48002,11.655405,-3.0512984,-7.521341
20914,19.30483,-1.0349089,4.969839
37011,10.325955,-3.365899,-1.5655735
12962,-0.47470802,-7.4595532,0.50967526
45698,16.591742,-1.1133891,-0.011371465
24773,10.273933,-7.1998897,-2.6192286
18569,6.8943195,1.1912352,-0.60921806
41176,-0.9430611,-6.3919697,-1.9805406
48366,6.0060863,-1.0097791,-6.1887403
47209,5.4551334,-6.2834873,-4.5445485
46522,10.938734,-3.787296,1.1195378
38693,5.2863894,-7.1529703,-4.4802375
48825,17.827446,-5.762928,-1.4845191
8479,14.4195385,0.30193186,-5.1193643
40462,7.236704,0.7414537,-4.1306157
15873,9.068687,-9.514896,-1.5258976
41897,4.7265897,-3.0234158,-6.1644163
34050,7.8425093,0.22881222,-4.8045826
46802,11.391966,-4.6156144,-0.5866237
23423,8.686312,1.5133138,-0.58019567
21405,12.406477,-4.027859,-0.062033158
47890,8.03801,6.3829474,-0.19285691
11182,5.697185,-2.6779764,3.5899415
2014,1.9522398,-7.9585876,-6.9391894
29193,15.915156,-5.8298626,-1.0262408
34203,2.3205564,-12.641972,-2.5286543
14992,14.308713,0.6115373,-4.725004
31506,3.2267463,3.8782098,-1.004778
